Department,Division,Category,Activity,Keywords,Fee Name/Description,Fee,Fee  -  Other,Unit,Additional Fee ,Additional Fee Unit,Deposit,Rate Tier,Comments,External Link(s),Notes
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"basketball, volleyball, open gym","Community Activities
 - Gym User Fee
 - Residents: Quarterly Passes, Seniors",16,,,,,,Residents-Seniors,"Seniors (50 and older)
The fees charged for gym use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Court Rental, Basketball Courts,  Marine Park, Reed Park, court rental fees, basketball court rental fees,","Sports Facilities Rental - Outdoor Basketball Court, Non-Resident, Non-Profit Organizations",14,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Adult Skate Boarding, The Cove, Skate Board, BMX","Skate Park, Quarterly Pass
 - Residents, Adult",35,,,,,,Residents - Adult,Quarterly pass valid 91 days from date of purchase. A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, One-Time Registration
 - Residents, Youth",10,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Reed Park","Facility Filming Rental - Still, Reed Park, Auditorium Full",310,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"basketball, volleyball, open gym","Community Activities
 - Gym User Fee
 - Non-Residents: Daily Use Pass, Adult",4.5,,,,,,Non-Residents-Adult," Adults (18 - 49 years old)
The fees charged for gym use shall help offset the cost of staffing, lights, maintenance and equipment.  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Joslyn Park","Facility Filming Rental - Still, Joslyn Park, Auditorium",310,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, Youth Group Rental, Field Rental with Lights, Marine Park, Clover Park, Memorial Park, Airport Park, John Adams Middle School, Santa Monica High School, field rental fees","Sports Facilities Rental - Field Rental, Residents, Youth Groups, Lights",3,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Miscellaneous, Misc, ","Miscellaneous Inspections, Reinspection Fee: Minimum Inspection Fee - all permits except Single Trade",528.95,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Small Room","Park Building Rental - Non-Residents, Community Mtg. Rm, Reed Park, Small  (30 - 40)",37,,,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Douglas Park","Facility Filming Rental - Non-Profit/Student Motion/Still, Douglas Park, Club House",51.7,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Small Room","Park Building Rental - Residents, Community Mtg. Rm, Reed Park, Small  (30 - 40)",26,,,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Small Room","Park Building Rental - Residents, Community Mtg. Rm, Virginia Avenue Park, Large (90 - 130)",52,,,,,,Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Non-Profit Adult Aquatics Program and Private Schools, Non - Santa Monica Based, Short Course ",17.5,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Planning and Community Development,City Planning/Development Review,Documents,,Required mailing labels for Code required public noticing for discretionary permits,Mailing Label,137.71,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"basketball, volleyball, open gym","Community Activities
 - Gym User Fee
 - Non-Residents: Daily Use Pass, Seniors",3,,,,,,Non-Residents-Seniors,"Seniors (50 and older)
The fees charged for gym use shall help offset the cost of staffing, lights, maintenance and equipment. ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,"Drop-in, Single Day","daily entry, day swim, day pass, entrance fee, baby swim, kid swim ",Community Aquatics - Recreational and Fitness Swim - Daily Use - Non-Residents - Youth ,3,,per day,,,,Non-Residents-Youth,"Youth (17 years and under)
  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Volleyball Leagues, Recreational Leagues, Volleyball, Coed Sports","Adult Sports League
 - Volleyball
 - Residents/SM Workers",275,,,,,,Residents/SM Workers,Residents/SM Workers (Registration Priority 2)  At least 60% of players must live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Pedicab Driver, Permit, Transfer",Pedicab Drivers Permit Fees: Pedicab drivers permit transfer fee to new company,66.35,,,,,,,,,
Fire,Fire,Events/Special,,"tents, canopies","Tents & Canopies over 5,000 sq ft",0.0716,,per square footage,,,,,,,
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Half, Residents, Community Groups/Individuals",45,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Miscellaneous, Misc, Excessive","Miscellaneous Plan Check Fees, Excessive Plan Check - each review after three",239.79,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Tenant, Improvement, Improvements, TI","Combination Building Permits, Tenant Improvements: Additional 10,000 square feet",0.2977,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Reservation, Field Rental, Still Photography, Sports Field Rental, Field Rental Fee, Marine Park, Clover Park, Airport Park, Memorial Park, Los Amigos Park","Facility Filming Rental - Still, Various Parks, Ballfield  No lights",258,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, Sports Field Rental, soccer field, football field, sports fields, Airport Park, Santa Monica High School, John Adams Middle School","Sports Facilities Rental - Field Rental, Non-Resident, Youth Groups, High Intensity (soccer, football, rugby, field hockey, lacrosse)",6,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, Youth Group Rental, Field Rental with Lights, Marine Park, Clover Park, Memorial Park, Airport Park, John Adams Middle School, Santa Monica High School","Sports Facilities Rental - Field Rental, Non-Resident, Community Groups/Individuals, Lights",19.5,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Designation of a group of buildings as a City landmark district,Historic District Designation,1186,,,,,,,Fee is not subject to the City's annual administrative revision and increase.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, 1450 Ocean, Senior Recreation Center","Facility Filming Rental - Non-Profit/Student Motion/Still, Senior Rec. Cntr, Addition",77.55,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Adult Sports,"Coed Volleyball Leagues, Recreational Leagues, Volleyball, Coed Sports","Adult Sports League
 - Volleyball
 - Non-Residents",300,,,,,,Non-Residents,Non-Resident Teams (Registration Priority 3)  Less than 60% of players live or work in Santa Monica. A fee will be assessed to cover costs for supplies and a portion of administrative expenses.  Officiating fees are additional and paid directly to officials.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Driver, Application, Fingerprint, Background Check",Santa Monica Police Department Fingerprinting fee*,,*,,,,,,City portion of Fingerprinting Fee is established per resolution of the City Council.  Additional fees may be required by the Police Department if FBI/DOJ search is required.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"pool rental, lane rental, swim team rental, rental, rent pool","Santa Monica Swim Center - Rental Charges, Other Organizations and Businesses, Santa Monica Based, Short Course ",20,,per lane per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution. ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Superstars,"Sports, Kindergarten, Fitness, Youth, After school, Flag Football, Basketball, Soccer, Volleyball, Register, Fun, (for Rookies: add first grade and second grade)

","CREST
 - Youth Sports Leagues
 - Superstars (grades K - 2)",125,,per child/per session,,,,,,"Additional information is available at:
<a target=""_blank"" href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
<a target=""_blank"" href=""https://activenet004.active.com/santamonicarecreation"">https://activenet004.active.com/santamonicarecreation</a>","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography, Joslyn Park","Facility Filming Rental - Non-Profit/Student Motion/Still, Joslyn Park, Craft Room",51.7,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"goggles, swim caps, swim equipment",Aquatics Supplies Fees,,actual cost,,,,,,Fees will be assessed to cover the actual cost of the items and a portion of the administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">NOTECCP1</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Tennis,"Tennis Courts, Reed park, Douglas, Marine, Memorial, Clover, Tennis Reservations, Court fees, Reservation fees, Instruction, instructors, lessons, Tournaments, Matches","Tennis Court Reservation Rate - Residents Quarterly Passes, Youth",20,,quarterly,,,,Residents-Youth,"Youth (17 years and under). Quarterly passes are valid for 91 days from the date of Purchase. 
Tennis Court Reservation Rate: City park and Santa Monica High School Courts when used by the City pursuant to agreements with the Santa Monica-Malibu Unified School District are reserved.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography","Facility Filming Rental - Still, Reed Park, Aud. East or Aud. West",206,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Renewal, Renew, Expired, Plan Check, Formal, Excessive",Renewal Fees: Expired Plan Check - Formal -  Excessive Plan Check (Per Hour),254.71,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Youth Annual Pass, Residents",80,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Beach Volleyball Clubs, beach sports clubs, beach volleyball teams, beach volleyball tournament, beach soccer tournament, beach volleyball matches, beach soccer matches, High School Sand Volleyball, beach volleyball courts, beach volleyball, beach soccer, court reservations, court rentals, beach courts, beach sports, outdoor sports, volleyball, beach court permits, CBVA, AAU, IBVL, NCAA intercollegiate play","Sports Facilities Rental - Beach Volleyball & Soccer Courts, Tournament Rate",24,,per day,,,,,Staffing fees shall be subject to the annual administrative increase per resolution. This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facility-rental-beach-volleyball-fee-notes"">Sports facilities rental fee notesA</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting room, Facility, Reservation, Swimming, Filming, Still photography","Santa Monica Swim Center - Rental Charges, Filming Fees, Motion, Per Lane Rate",64,,per hour,,,,,This fee is not subject to the annual administrative revision and increase per resolution.  ,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/swim-center-fee-notes"">Swim Center fee notes</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,"New commercial square footage of greater than 1,000 sq. ft. but less than 7,500 sq. ft.",Administrative Approval,4684,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Reservations, Field Rental, soccer field, football, field sports, Marine Park, Clover Park, Memorial Park, Los Amigos Park, John Adams Middle School, Lincoln Middle School, Airport Park, Santa Monica High School, Field rental fees","Sports Facilities Rental - Field Rental, Residents, Non-Profit Organizations, High Intensity (soccer, football, rugby, field hockey, lacrosse)",19.5,,,,,,Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Engineering, Report, Review, Alternate, Methods, Construction, Field, Constructed","Engineering Report Review: Alternate Methods of Construction, Field Constructed",1812.9,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Specialty classes,"WSI class, lifeguard, swim instructor, certification","Community Aquatics
 - Specialty Classes
 - Water Safety Instructor
 - Non-Residents",158,,,,,,Non-Residents,"A $35.00 material fee will be assessed. 
",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Rates,,"Taxicab Company, Taxi Franchise, Airport Rate",Airport Flat Rates - South of  I-10 to Los Angeles International Airport**,30,,Maximum,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Filming, Still Photography","Facility Filming Rental - Still, Ken Edwards, Small Meeting Room",206,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Company, Taxi Franchise , Vehicle",Annual franchise fee per vehicle in taxicab fleet - set by ordinance **,1100,,,,,,,This fee is not subject to the annual administrative revision and increase.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Youth/Adult Skate/Bike,"Youth Skate Boarding, The Cove, Skate Board, BMX ","Skate Park, Daily Pass
 - Residents, Youth",3,,,,,,Residents - Youth,A fee will be assessed to cover supplies and a portion of administrative expenses.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Planning and Community Development,Transportation Engineering and Management,Fees,,"Taxicab Driver, Driver Permit, Application, Replacement",Taxicab drivers permit replacement fee,29.97,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/taxi-vehicle-fee-notes"">Taxi vehicle fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Reservation, Field Rental, Filming, Sports Field Rental, Field Rental Fee, Marine Park, Clover Park, Airport Park, Memorial Park, Los Amigos Park","Facility Filming Rental - Motion, Various Parks, Ballfield  No lights",361,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Beach soccer, beach volleyball, beach sports, beach, pier, outdoor sports","Facility Filming Rental - Motion/Still, SM State Beach, Beach Soccer & Volleyball Courts",103.4,,Daily,,,,NP /Student /Educational ,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"After, Hours, Review, Application","After Hours Permits, Review of After Hours Permit Application",578.93,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Planning and Community Development,Building and Safety,Permits,,"Combination, Building, Combo, Commercial/Industrial, Commercial, Industrial, Shell, Only","Combination Building Permits, Commercial/Industrial - shell only and attached parking: Additional 10,000 square feet",0.6206,,per square footage,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"Gym Rental, Basketball, Volleyball, Half Court/Full Court, Gym Facility","Sports Facilities Rental - Memorial Park Gym - Full, Non-Resident, Private Schools/Non-Residents Public Schools",115,,,,,,Non-Residents,"Staffing fees shall be subject to the annual administrative increase per resolution.
This fee is not subject to the annual administrative revision and increase per resolution.",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/sports-facilities-rental-fee-notes"">Sports facilities rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Senior Center, Meeting, Palisades Park, non-profit","Park Building Rental - SM Based Non-Profit Orgs., Community Mtg. Rm, 1450 Ocean, Small  (18 - 55)",13,,,,,,Santa Monica based non-profit organizations: Must have at least 50% Santa Monica residents.,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Planning and Community Development,City Planning/Development Review,Plan Checks,,Planning Plan Check of building permit applications - revisions and re-stamps,"Planning Plan Check, per hour-plan revisions, restamping plans, and permit renewals",257.39,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Mechanical, Plan, Review, Over the Counter, Counter, OTC, Standard","Mechanical Plan Review, Over The Counter PC: Standard-up to two reviews",445.86,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Gym,"basketball, volleyball, open gym","Community Activities
 - Gym User Fee
 - Non-Residents: Quarterly Passes, Adult",40,,,,,,Non-Residents-Adult," Adults (18 - 49 years old)
The fees charged for gym use shall help offset the cost of staffing, lights, maintenance and equipment.  ",,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">Community and Cultural Services fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Non-Profit, Auditorium, Multi-purpose room, Center, Ken Edwards Center, KEC, Community Center, Community Room, Room 100A, Room 100B, Lunchroom","Park Building Rental - Non-Residents, Community Mtg. Rm, Douglas Park, Small  (30 - 50)",37,,,,,,Non-Residents,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/park-building-rental-fee-notes"">Park building rental fee notes</a>"
Community and Cultural Services,Community Recreation,Aquatics/Swimming,Rentals and Reservations,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Filming, Still Photography","Facility Filming Rental - Still, Reed Park, Card Room",206,,Daily,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/filming-fee-notes"">Filming fee notes</a>"
Community and Cultural Services,Community Recreation,Miscellaneous Fees,,"Afterschool, creative, STEM, enrichment, music, arts, theatre, karate, dance, sports, classes, Edison, McKinley, Grant, Roosevelt, John Muir, SMASH, Will Rogers, Franklin, recreation, languages",CREST - Enrichment,,actual cost,,,,,,"A fee will be assessed to cover the instructors salaries, materials costs and a portion of administrative expenses.","Additional information is available at: 
<a target=""_blank"" href=""http://www.smgov.net/Departments/CCS/content.aspx?id=32473"">http://www.smgov.net/Departments/CCS/content.aspx?id=32473</a>
https://activenet004.active.com/santamonicarecreation/","<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/community-cultural-services-programs-fee-notes"">NOTECCP1</a>"
Planning and Community Development,City Planning/Development Review,Permit Entitlement,,Alcohol service at a restaurant with 50 or fewer seats with specified conditions,Alcohol Exemption,1395,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Community and Cultural Services,Community and Cultural Services,Aquatics/Swimming,Permits,"Meeting Room, Facility, Reservations, Park, Auditorium, Multi-purpose room, Center, Community Center, Community Room, Reed Park, Lincoln Park, Joslyn Hall, Large Room","Park Building Rental - Residents, Community Mtg. Rm, Reed Park, Large  (82-118)",52,,,,,,,This fee is not subject to the annual administrative revision and increase per resolution.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/ken-edwards-center-fee-notes"">Ken Edwards Center fee notes</a>"
Planning and Community Development,City Planning/Development Review,Historic Reviews,,Designation of a building as a City landmark,Landmark Designation,816,,,,,,,Fee is not subject to the City's annual administrative revision and increase.,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/planning-community-development-fee-notes"">Planning and Community Development fee notes</a>"
Planning and Community Development,Building and Safety,Plan Checks,,"Architectural and Structural, Architectural, Structural, Plan, Review, Preliminary Review, Preliminary, Prelim","Architectural and Structural Plan Review, Preliminary Review: First Two Hours",508.34,,,,,,,,,"<a target=""_blank"" href=""http://finance.smgov.net/fees-taxes/building-and-safety-fee-notes"">Building and Safety fee notes</a>"
